Year	Rd	Pk	Tm	Player
1981	3	50	POR	Derek Holcomb
1982	1	1	LAL	James Worthy
1982	1	2	SDC	Terry Cummings
1982	1	3	UTA	Dominique Wilkins
1982	1	4	DAL	Bill Garnett
1982	1	5	KCK	LaSalle Thompson
1982	1	6	NYK	Trent Tucker
1982	1	7	CHI	Quintin Dailey
1982	1	8	IND	Clark Kellogg
1982	1	9	DET	Cliff Levingston
1982	1	10	ATL	Keith Edmonson
1982	1	11	POR	Fat Lever
1982	1	12	CLE	John Bagley
1982	1	13	NJN	Sleepy Floyd
1982	1	14	GSW	Lester Conner
1982	1	15	PHO	David Thirdkill
1982	1	16	HOU	Terry Teagle
1982	1	17	KCK	Brook Steppe
1982	1	18	DET	Ricky Pierce
1982	1	19	DEN	Rob Williams
1982	1	20	MIL	Paul Pressey
1982	1	21	NJN	Eddie Phillips
1982	1	22	PHI	Mark McNamara
1982	1	23	BOS	Darren Tillis
1982	2	24	SAS	Oliver Robinson
1982	2	25	WSB	Bryan Warrick
1982	2	26	CHI	Ricky Frazier
1982	2	27	MIL	Fred Roberts
1982	2	28	CLE	Dave Magley
1982	2	29	NYK	Scott Hastings
1982	2	30	CHI	Wallace Bryant
1982	2	31	CHI	Rod Higgins
1982	2	32	SDC	Richard Anderson
1982	2	33	POR	Linton Townes
1982	2	34	NYK	Vince Taylor
1982	2	35	GSW	Derek Smith
1982	2	36	PHI	J.J. Anderson
1982	2	37	POR	Audie Norris
1982	2	38	GSW	Wayne Sappleton
1982	2	39	PHO	Kevin Magee
1982	2	40	IND	Guy Morgan
1982	2	41	WSB	Dwight Anderson
1982	2	42	HOU	Jeff Taylor
1982	2	43	IND	Jose Slaughter
1982	2	44	WSB	Mike Gibson
1982	2	45	PHI	Russ Schoene
1982	2	46	BOS	Tony Guy
1982	3	47	CLE	Michael Wilson
1982	3	48	SDC	Craig Hodges
1982	3	49	UTA	Steve Trumbo
1982	3	50	DAL	Corny Thompson
1983	1	1	HOU	Ralph Sampson
1983	1	2	IND	Steve Stipanovich
1983	1	3	HOU	Rodney McCray
1983	1	4	SDC	Byron Scott
1983	1	5	CHI	Sidney Green
1983	1	6	GSW	Russell Cross
1983	1	7	UTA	Thurl Bailey
1983	1	8	DET	Antoine Carr
1983	1	9	DAL	Dale Ellis
1983	1	10	WSB	Jeff Malone
1983	1	11	DAL	Derek Harper
1983	1	12	NYK	Darrell Walker
1983	1	13	KCK	Ennis Whatley
1983	1	14	POR	Clyde Drexler
1983	1	15	DEN	Howard Carter
1983	1	16	SEA	Jon Sundvold
1983	1	17	PHI	Leo Rautins
1983	1	18	MIL	Randy Breuer
1983	1	19	SAS	John Paxson
1983	1	20	CLE	Roy Hinson
1983	1	21	BOS	Greg Kite
1983	1	22	WSB	Randy Wittman
1983	1	23	IND	Mitchell Wiggins
1983	1	24	CLE	Stewart Granger
1983	2	25	CHI	Sidney Lowe
1983	2	26	IND	Leroy Combs
1983	2	27	CLE	John Garris
1983	2	28	PHO	Rod Foster
1983	2	29	CHI	Larry Micheaux
1983	2	30	DAL	Mark West
1983	2	31	ATL	Doc Rivers
1983	2	32	WSB	Michael Britt
1983	2	33	DAL	Dirk Minniefield
1983	2	34	WSB	Guy Williams
1983	2	35	SAS	Darrell Lockhart
1983	2	36	SEA	Scooter McCray
1983	2	37	DEN	David Russell
1983	2	38	KCK	Chris McNealy
1983	2	39	POR	Granville Waiters
1983	2	40	IND	Jim Thomas
1983	2	41	MIL	Ted Kitchel
1983	2	42	MIL	Mike Davis
1983	2	43	GSW	Pace Mannion
1983	2	44	NJN	Horace Owens
1983	2	45	PHO	Paul Williams
1983	2	46	SAS	Kevin Williams
1983	2	47	PHI	Ken Lyons
1983	3	48	HOU	Craig Ehlo
1983	3	49	IND	Greg Jones
1983	3	50	CLE	Paul Thompson
1984	1	1	HOU	Hakeem Olajuwon
1984	1	2	POR	Sam Bowie
1984	1	3	CHI	Michael Jordan
1984	1	4	DAL	Sam Perkins
1984	1	5	PHI	Charles Barkley
1984	1	6	WSB	Melvin Turpin
1984	1	7	SAS	Alvin Robertson
1984	1	8	LAC	Lancaster Gordon
1984	1	9	KCK	Otis Thorpe
1984	1	10	PHI	Leon Wood
1984	1	11	ATL	Kevin Willis
1984	1	12	CLE	Tim McCormick
1984	1	13	PHO	Jay Humphries
1984	1	14	LAC	Michael Cage
1984	1	15	DAL	Terence Stansbury
1984	1	16	UTA	John Stockton
1984	1	17	NJN	Jeff Turner
